Movie_id,Name of movie,Year of relase,Watchtime,Movie Rating,Genres,Votes,Reviews,Director,Stars
0,Liger,2022,140,3.1,"Action, Drama, Romance","40,647","A story about martial arts, dreams and star crossed lovers. Liger is an MMA fighter who trains hard and rises up the ranks with one goal in mind, to fight like his idol, world renowned MMA fighter Mark Anderson and get noticed by him.",Puri Jagannadh,"['Mike Tyson', 'Vijay Deverakonda', 'Ananya Panday', 'Ramya Krishnan']"
1,Laal Singh Chaddha,2022,159,5,"Comedy, Drama, Romance","1,60,384","Laal Singh Chaddha, a simple man whose extraordinary journey will fill you with love, warmth, happiness and will also make you laugh.",Advait Chandan,"['Aamir Khan', 'Shah Rukh Khan', 'Kareena Kapoor', 'Mona Singh']"
2,Sherdil,2022,120,6.9,"Comedy, Drama","1,694","Inspired by the real events that took place in the Pilibhit Tiger Reserve where people used to leave their elderly family members for tigers to prey on, and then claim compensation from the administration.",Srijit Mukherji,"['Sayani Gupta', 'Pankaj Tripathi', 'Neeraj Kabi', 'Akshay Kapoor']"
3,Karthikeya 2,2022,150,8.4,"Action, Adventure, Fantasy","51,805","A sequel to mystic thriller Karthikeya, which deals with the personal problems of Karthik and how he comes out of them. His pursuit of the truth leads him to find out the power of Indian ancient system and Tatva of Lord Sri Krishna.",Chandoo Mondeti,"['Nikhil Siddharth', 'Harsha Chemudu', 'Darbha Appaji Ambarisha', 'Anupam Kher']"
4,Shamshera,2022,178,4.9,"Action, Adventure, Drama","53,199","In the fictitious city of Kaza, a warrior tribe is imprisoned, enslaved and tortured by a ruthless authoritarian Shudh Singh. Shamshera is a legend for his tribe who relentlessly fights for his tribe's freedom and dignity.",Karan Malhotra,"['Ranbir Kapoor', 'Sanjay Dutt', 'Vaani Kapoor', 'Saurabh Shukla']"
5,Rocketry: The Nambi Effect,2022,157,9,"Biography, Drama","41,913","Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him.",Madhavan,"['Madhavan', 'Simran', 'Rajit Kapoor', 'Ravi Raghavendra']"
6,Dobaaraa,2022,132,2.8,"Drama, Fantasy, Mystery","15,950","A woman gets an opportunity to save the life of a 12-year old boy who witnessed a death during a thunderstorm which happened 25 years ago, by getting connected through the television set during a similar storm in the present.",Anurag Kashyap,"['Rahul Bhat', 'Saswata Chatterjee', 'Himanshi Choudhary', 'Shaurya Duggal']"
7,Vikram,2022,175,8.4,"Action, Thriller","47,404","A high-octane action film where a special investigator is assigned a case of serial Killings, he finds the case is not what it seems to be and leading down this path is only going to end in a war between everyone involved.",Lokesh Kanagaraj,"['Kamal Haasan', 'Vijay Sethupathi', 'Fahadh Faasil', 'Narain']"
8,Raksha Bandhan,2022,108,4.6,"Comedy, Drama, Family","21,156","Lala Kedarnath, the eldest and only brother of 4 sisters, runs a chaat shop that was started by his father. Lala promises his frail mother on her deathbed that he will get married only ...                See full summary »",Aanand L. Rai,"['Akshay Kumar', 'Taufique Shersha', 'Bhumi Pednekar', 'Sadia Khateeb']"
9,Darlings,2022,133,6.6,"Comedy, Drama, Thriller","13,646",It follows the lives of two women as they find courage and love in exceptional circumstances.,Jasmeet K Reen,"['Alia Bhatt', 'Shefali Shah', 'Vijay Varma', 'Roshan Mathew']"
10,777 Charlie,2022,136,9,"Adventure, Comedy, Drama","20,672",Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.,Kiranraj K,"['Rakshit Shetty', 'Charlie', 'Sangeetha Sringeri', 'Raj B. Shetty']"
11,Vikram Vedha,2017,147,8.2,"Action, Crime, Drama","40,417","Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.","Directors:Gayatri, Pushkar, Gowtham Selvaraj","['Madhavan', 'Vijay Sethupathi', 'Shraddha Srinath', 'Kathir']"
12,VR (Vikrant Rona),2022,148,8,"Action, Adventure, Drama","19,126","Almost half a century ago, a remote village in the middle of a tropical rainforest starts witnessing a series of unexplainable events which they attribute to the supernatural.",Anup Bhandari,"['Sudeep', 'Nirup Bhandari', 'Neetha Ashok', 'Jacqueline Fernandez']"
13,Major,2022,150,8.2,"Action, Biography, Drama","23,678","Based on the life of Major Sandeep Unnikrishnan, who was martyred in action during the November 2008 Mumbai attacks and was consequently awarded the Ashoka Chakra, India's highest peacetime gallantry award, on 26 January 2009.",Sashi Kiran Tikka,"['Adivi Sesh', 'Prakash Raj', 'Revathi', 'Saiee Manjrekar']"
14,3 Idiots,2009,170,8.4,"Comedy, Drama","3,94,638","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,"['Aamir Khan', 'Madhavan', 'Mona Singh', 'Sharman Joshi']"
15,Shabaash Mithu,2022,156,5.7,"Biography, Drama, Sport","7,304","A biopic based on the life and struggles of Mithali Raj, Indian Cricketer, and captain of the Indian National Cricket team.",Srijit Mukherji,"['Taapsee Pannu', 'Taufique Shersha', 'Vijay Raaz', 'Mumtaz Sorcar']"
16,Brahmastra Part One: Shiva,2022,120,0,"Action, Adventure, Fantasy",null,"This is the story of Shiva who sets out in search of love and self-discovery. During his journey, he has to face many evil forces that threaten our existence.",Ayan Mukherjee,"['Ranbir Kapoor', 'Alia Bhatt', 'Amitabh Bachchan', 'Nagarjuna Akkineni']"
17,Jug Jugg Jeeyo,2022,148,6.1,"Comedy, Drama, Family","36,089",Two couples from different generations confront their issues after marriage.,Raj Mehta,"['Varun Dhawan', 'Anil Kapoor', 'Kiara Advani', 'Neetu Singh']"
18,Khuda Haafiz Chapter II: Agni Pariksha,2022,144,8.3,"Action, Crime, Drama","9,242","Sameer and Nargis, after overcoming all odds, find a ray of sunshine when little Nandini enters their lives and their family is complete; But their happiness is short-lived. In a bizarre twist of fate, Nandini goes missing.",Faruk Kabir,"['Vidyut Jammwal', 'Shivaleeka Oberoi', 'Dibyendu Bhattacharya', 'Sheeba Chaddha']"
19,Lion,2016,118,8,"Biography, Drama","2,35,146","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",Garth Davis,"['Dev Patel', 'Nicole Kidman', 'Rooney Mara', 'Sunny Pawar']"
20,Vikram Vedha,2022,147,0,"Action, Crime, Drama",null,A tough police officer sets out to track down and kill an equally tough gangster.,"Directors:Gayatri, Pushkar","['Hrithik Roshan', 'Radhika Apte', 'Saif Ali Khan', 'Rofique Khan']"
21,Runway 34,2022,145,7.1,"Drama, Thriller","25,119","Inspired by true incidents, ""Runway 34"" revolves around Captain Vikrant Khanna played by Ajay Devgn, a flying prodigy, whose flight takes a mysterious course after take-off from an international destination.",Ajay Devgn,"['Ajay Devgn', 'Amitabh Bachchan', 'Rakul Preet Singh', 'Boman Irani']"
22,Hit: The First Case,2022,132,7.3,"Action, Crime, Drama","8,216","Vikram is a 32-year-old cop. While he is battling with his own traumatic past, the stakes get high when a girl called Preethi mysteriously disappears in Hyderabad and Vikram has to solve the case at any cost.",Sailesh Kolanu,"['Madhur Arora', 'Aparna Bajpai', 'Noyrika Bhatheja', 'Jatin Goswami']"
23,Cadaver,2022,123,6.6,"Crime, Drama, Mystery","1,991",A high profile murder baffles the cops when a prison inmate claims responsibility and promises more deaths. Will the police surgeon Bhadra crack this mystery?,Anoop Panicker,"['Amala Paul', 'Riythvika Panneerselvam', 'Munishkanth', 'Harish Uthaman']"
24,Ek Villain Returns,2022,129,5.4,"Action, Romance, Thriller","10,267",The story of two men in one sided love. The paths they choose to fulfill their love stories decide who the Hero is and who is the Villain.,Mohit Suri,"['Disha Patani', 'John Abraham', 'Tara Sutaria', 'Arjun Kapoor']"
25,Gandhi,1982,191,8.1,"Biography, Drama","2,30,712",The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,Richard Attenborough,"['Ben Kingsley', 'John Gielgud', 'Rohini Hattangadi', 'Roshan Seth']"
26,Gangubai Kathiawadi,2022,152,7,"Biography, Crime, Drama","53,202","Duped and sold to a brothel, a young woman fearlessly reclaims her power, using underworld connections to preside over the world she was once a pawn in.",Sanjay Leela Bhansali,"['Alia Bhatt', 'Shantanu Maheshwari', 'Vijay Raaz', 'Indira Tiwari']"
27,Nikamma,2022,152,2.4,"Action, Comedy, Drama","1,419",A lazy slacker struggles to get along with his diligent sister-in-law - until they must step up and fight together against a common enemy.,Sabir Khan,"['Abhimanyu Dasani', 'Imam Hossain Saju', 'Shirley Setia', 'Samir Soni']"
28,Jai Bhim,2021,164,8.9,"Crime, Drama, Mystery","1,96,904","When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",T.J. Gnanavel,"['Suriya', 'Lijo Mol Jose', 'Manikandan K.', 'Rajisha Vijayan']"
